"Input","SYMBOL","Species"
"Dcc-Mus musculus","Dcc","Mus musculus"
"Dclk1-Mus musculus","Dclk1","Mus musculus"
"Dclk2-Mus musculus","Dclk2","Mus musculus"
"Dctn1-Mus musculus","Dctn1","Mus musculus"
"Dctn2-Mus musculus","Dctn2","Mus musculus"
"Dcx-Mus musculus","Dcx","Mus musculus"
"Ddost-Mus musculus","Ddost","Mus musculus"
"Ddrgk1-Mus musculus","Ddrgk1","Mus musculus"
"Ddx1-Mus musculus","Ddx1","Mus musculus"
"Ddx17-Mus musculus","Ddx17","Mus musculus"
"Ddx39a-Mus musculus","Ddx39a","Mus musculus"
"Ddx3x-Mus musculus","Ddx3x","Mus musculus"
"Ddx5-Mus musculus","Ddx5","Mus musculus"
"Ddx6-Mus musculus","Ddx6","Mus musculus"
"Dgat1-Mus musculus","Dgat1","Mus musculus"
"Dgkb-Mus musculus","Dgkb","Mus musculus"
"Dgkd-Mus musculus","Dgkd","Mus musculus"
"Dgke-Mus musculus","Dgke","Mus musculus"
"Dgki-Mus musculus","Dgki","Mus musculus"
"Dhcr7-Mus musculus","Dhcr7","Mus musculus"
"Dhrs13-Mus musculus","Dhrs13","Mus musculus"
"Diaph1-Mus musculus","Diaph1","Mus musculus"
"Dip2b-Mus musculus","Dip2b","Mus musculus"
"Dip2c-Mus musculus","Dip2c","Mus musculus"
"Diras2-Mus musculus","Diras2","Mus musculus"
"Dlg1-Mus musculus","Dlg1","Mus musculus"
"Dlg2-Mus musculus","Dlg2","Mus musculus"
"Dlg3-Mus musculus","Dlg3","Mus musculus"
"Dlg4-Mus musculus","Dlg4","Mus musculus"
"Dlgap1-Mus musculus","Dlgap1","Mus musculus"
"Dlgap2-Mus musculus","Dlgap2","Mus musculus"
"Dlgap3-Mus musculus","Dlgap3","Mus musculus"
"Dlgap4-Mus musculus","Dlgap4","Mus musculus"
"Dmac1-Mus musculus","Dmac1","Mus musculus"
"Dmd-Mus musculus","Dmd","Mus musculus"
"Dmtn-Mus musculus","Dmtn","Mus musculus"
"Dmxl2-Mus musculus","Dmxl2","Mus musculus"
"Dnah9-Mus musculus","Dnah9","Mus musculus"
"Dnaja1-Mus musculus","Dnaja1","Mus musculus"
"Dnaja2-Mus musculus","Dnaja2","Mus musculus"
"Dnajb1-Mus musculus","Dnajb1","Mus musculus"
"Dnajb11-Mus musculus","Dnajb11","Mus musculus"
"Dnajb12-Mus musculus","Dnajb12","Mus musculus"
"Dnajb6-Mus musculus","Dnajb6","Mus musculus"
"Dnajc10-Mus musculus","Dnajc10","Mus musculus"
"Dnajc13-Mus musculus","Dnajc13","Mus musculus"
"Dnajc16-Mus musculus","Dnajc16","Mus musculus"
"Dnajc5-Mus musculus","Dnajc5","Mus musculus"
"Dnajc6-Mus musculus","Dnajc6","Mus musculus"
"Dner-Mus musculus","Dner","Mus musculus"
"Dnm1-Mus musculus","Dnm1","Mus musculus"
"Dnm2-Mus musculus","Dnm2","Mus musculus"
"Dnm3-Mus musculus","Dnm3","Mus musculus"
"Dnpep-Mus musculus","Dnpep","Mus musculus"
"Dock3-Mus musculus","Dock3","Mus musculus"
"Dock4-Mus musculus","Dock4","Mus musculus"
"Dock7-Mus musculus","Dock7","Mus musculus"
"Dock9-Mus musculus","Dock9","Mus musculus"
"Dpm1-Mus musculus","Dpm1","Mus musculus"
"Dpp10-Mus musculus","Dpp10","Mus musculus"
"Dpp6-Mus musculus","Dpp6","Mus musculus"
"Dpy19l1-Mus musculus","Dpy19l1","Mus musculus"
"Dpysl2-Mus musculus","Dpysl2","Mus musculus"
"Dpysl3-Mus musculus","Dpysl3","Mus musculus"
"Dpysl4-Mus musculus","Dpysl4","Mus musculus"
"Dpysl5-Mus musculus","Dpysl5","Mus musculus"
"Dst-Mus musculus","Dst","Mus musculus"
"Dstn-Mus musculus","Dstn","Mus musculus"
"Dtna-Mus musculus","Dtna","Mus musculus"
"Dync1h1-Mus musculus","Dync1h1","Mus musculus"
"Dync1i1-Mus musculus","Dync1i1","Mus musculus"
"Dync1i2-Mus musculus","Dync1i2","Mus musculus"
"Dync1li1-Mus musculus","Dync1li1","Mus musculus"
"Dync1li2-Mus musculus","Dync1li2","Mus musculus"
"Dync2h1-Mus musculus","Dync2h1","Mus musculus"
"Dynll1-Mus musculus","Dynll1","Mus musculus"
"Dynll2-Mus musculus","Dynll2","Mus musculus"
"Dyrk2-Mus musculus","Dyrk2","Mus musculus"
"Dzank1-Mus musculus","Dzank1","Mus musculus"
"Dzip3-Mus musculus","Dzip3","Mus musculus"
"Eci3-Mus musculus","Eci3","Mus musculus"
"Edc4-Mus musculus","Edc4","Mus musculus"
"Eef1a1-Mus musculus","Eef1a1","Mus musculus"
"Eef1a2-Mus musculus","Eef1a2","Mus musculus"
"Eef1b2-Mus musculus","Eef1b2","Mus musculus"
"Eef1d-Mus musculus","Eef1d","Mus musculus"
"Eef1g-Mus musculus","Eef1g","Mus musculus"
"Eef2-Mus musculus","Eef2","Mus musculus"
"Efr3a-Mus musculus","Efr3a","Mus musculus"
"Efr3b-Mus musculus","Efr3b","Mus musculus"
"Ehd1-Mus musculus","Ehd1","Mus musculus"
"Eif2s3x-Mus musculus","Eif2s3x","Mus musculus"
"Eif4a1-Mus musculus","Eif4a1","Mus musculus"
"Eif4a2-Mus musculus","Eif4a2","Mus musculus"
"Eif4a3-Mus musculus","Eif4a3","Mus musculus"
"Eif4e-Mus musculus","Eif4e","Mus musculus"
