"Input","SYMBOL","Species"
"CLASP2-Homo sapiens","CLASP2","Homo sapiens"
"CLCN6-Homo sapiens","CLCN6","Homo sapiens"
"CLIP2-Homo sapiens","CLIP2","Homo sapiens"
"CLIP3-Homo sapiens","CLIP3","Homo sapiens"
"CLSTN1-Homo sapiens","CLSTN1","Homo sapiens"
"CLSTN3-Homo sapiens","CLSTN3","Homo sapiens"
"CLTA-Homo sapiens","CLTA","Homo sapiens"
"CLTB-Homo sapiens","CLTB","Homo sapiens"
"CLTC-Homo sapiens","CLTC","Homo sapiens"
"CLU-Homo sapiens","CLU","Homo sapiens"
"CLVS2-Homo sapiens","CLVS2","Homo sapiens"
"CMAS-Homo sapiens","CMAS","Homo sapiens"
"CMPK1-Homo sapiens","CMPK1","Homo sapiens"
"CNDP2-Homo sapiens","CNDP2","Homo sapiens"
"CNKSR2-Homo sapiens","CNKSR2","Homo sapiens"
"CNN3-Homo sapiens","CNN3","Homo sapiens"
"CNOT1-Homo sapiens","CNOT1","Homo sapiens"
"CNP-Homo sapiens","CNP","Homo sapiens"
"CNTFR-Homo sapiens","CNTFR","Homo sapiens"
"CNTN1-Homo sapiens","CNTN1","Homo sapiens"
"CNTN2-Homo sapiens","CNTN2","Homo sapiens"
"CNTNAP1-Homo sapiens","CNTNAP1","Homo sapiens"
"CNTNAP2-Homo sapiens","CNTNAP2","Homo sapiens"
"CNTNAP3-Homo sapiens","CNTNAP3","Homo sapiens"
"CNTROB-Homo sapiens","CNTROB","Homo sapiens"
"COG3-Homo sapiens","COG3","Homo sapiens"
"COL4A1-Homo sapiens","COL4A1","Homo sapiens"
"COL4A2-Homo sapiens","COL4A2","Homo sapiens"
"COPA-Homo sapiens","COPA","Homo sapiens"
"COPB1-Homo sapiens","COPB1","Homo sapiens"
"COPG1-Homo sapiens","COPG1","Homo sapiens"
"COPS3-Homo sapiens","COPS3","Homo sapiens"
"CORO1A-Homo sapiens","CORO1A","Homo sapiens"
"CORO1C-Homo sapiens","CORO1C","Homo sapiens"
"CORO2A-Homo sapiens","CORO2A","Homo sapiens"
"CORO2B-Homo sapiens","CORO2B","Homo sapiens"
"CORO7-Homo sapiens","CORO7","Homo sapiens"
"CPNE6-Homo sapiens","CPNE6","Homo sapiens"
"CRACDL-Homo sapiens","CRACDL","Homo sapiens"
"CRIP2-Homo sapiens","CRIP2","Homo sapiens"
"CRMP1-Homo sapiens","CRMP1","Homo sapiens"
"CROCC-Homo sapiens","CROCC","Homo sapiens"
"CRTAC1-Homo sapiens","CRTAC1","Homo sapiens"
"CRYAB-Homo sapiens","CRYAB","Homo sapiens"
"CRYM-Homo sapiens","CRYM","Homo sapiens"
"CSE1L-Homo sapiens","CSE1L","Homo sapiens"
"CSK-Homo sapiens","CSK","Homo sapiens"
"CSNK1A1-Homo sapiens","CSNK1A1","Homo sapiens"
"CSNK1D-Homo sapiens","CSNK1D","Homo sapiens"
"CSNK2A2-Homo sapiens","CSNK2A2","Homo sapiens"
"CSNK2A3-Homo sapiens","CSNK2A3","Homo sapiens"
"CSNK2B-Homo sapiens","CSNK2B","Homo sapiens"
"CSRP1-Homo sapiens","CSRP1","Homo sapiens"
"CSRP2-Homo sapiens","CSRP2","Homo sapiens"
"CST3-Homo sapiens","CST3","Homo sapiens"
